MonthYear,District,ServiceId,Count
1 - 2019,0,0,9
1 - 2019,0,1,1
1 - 2019,1,0,1
1 - 2019,3,0,5
1 - 2019,4,0,1
1 - 2019,7,0,6
1 - 2019,8,0,2
1 - 2019,11,0,2
1 - 2019,12,0,6
1 - 2019,13,0,9
1 - 2019,14,0,4
1 - 2019,14,1,1
1 - 2019,15,0,12
1 - 2019,15,1,1
1 - 2019,16,0,5
1 - 2019,17,0,8
1 - 2019,18,0,5
1 - 2019,22,0,1
1 - 2019,23,0,3
1 - 2019,24,0,17
1 - 2019,24,1,2
1 - 2019,25,0,6
1 - 2019,26,0,1
1 - 2019,27,1,1
1 - 2019,28,0,3
1 - 2019,30,0,3
1 - 2019,31,0,4
1 - 2019,32,0,18
1 - 2019,33,0,3
1 - 2019,33,1,1
1 - 2019,34,0,6
1 - 2019,35,0,5
1 - 2019,35,1,1
1 - 2019,36,0,6
1 - 2019,37,0,2
1 - 2019,41,1,1
1 - 2019,42,0,1
1 - 2019,42,1,1
1 - 2019,42,2,1
1 - 2019,43,0,4
1 - 2019,44,0,1
1 - 2019,45,0,2
1 - 2019,48,0,2
1 - 2019,49,0,7
1 - 2019,50,0,2
1 - 2019,50,1,1
1 - 2019,51,0,11
1 - 2019,52,0,3
1 - 2019,53,0,2
1 - 2019,54,0,4
1 - 2019,55,0,7
1 - 2019,56,0,5
1 - 2019,56,1,3
1 - 2019,57,0,7
1 - 2019,58,0,3
1 - 2019,60,0,1
1 - 2019,60,1,2
1 - 2019,61,0,6
1 - 2019,62,0,1
1 - 2019,63,0,4
1 - 2019,64,0,2
1 - 2019,65,0,2
1 - 2019,66,0,1
1 - 2019,67,0,1
1 - 2019,68,0,1
1 - 2019,68,1,1
1 - 2019,69,0,5
1 - 2019,69,1,2
1 - 2019,70,0,1
1 - 2019,71,0,4
1 - 2019,73,0,1
1 - 2019,75,0,1
1 - 2019,75,1,1
1 - 2019,78,0,2
1 - 2019,80,0,12
1 - 2019,81,0,1
1 - 2019,81,1,2
1 - 2019,83,0,1
1 - 2019,84,0,1
1 - 2019,85,0,3
1 - 2019,86,0,1
1 - 2019,87,0,1
1 - 2019,89,0,4
1 - 2019,89,1,1
1 - 2019,90,0,3
1 - 2019,91,0,1
1 - 2019,92,0,15
1 - 2019,94,0,5
1 - 2019,95,0,1
1 - 2019,96,0,1
1 - 2019,97,0,1
1 - 2019,99,1,1
1 - 2019,100,0,6
1 - 2019,101,0,14
1 - 2019,101,1,5
1 - 2019,102,0,3
1 - 2019,103,0,7
1 - 2019,103,1,1
1 - 2019,105,0,3
1 - 2019,105,1,1
1 - 2019,107,0,2
1 - 2019,108,0,1
1 - 2019,109,0,20
1 - 2019,109,1,2
1 - 2019,110,0,3
1 - 2019,112,0,4
1 - 2019,113,0,3
1 - 2019,114,0,12
1 - 2019,114,1,1
1 - 2019,116,0,5
1 - 2019,117,0,4
1 - 2019,119,0,3
1 - 2019,123,0,5
1 - 2019,124,0,2
1 - 2019,124,1,1
1 - 2019,125,0,1
1 - 2019,126,0,2
1 - 2019,127,0,4
1 - 2019,128,0,1
1 - 2019,129,0,2
1 - 2019,130,0,4
1 - 2019,131,0,7
1 - 2019,135,0,5
1 - 2019,136,0,11
1 - 2019,137,0,3
1 - 2019,137,1,2
1 - 2019,140,0,3
1 - 2019,143,0,2
1 - 2019,143,1,2
1 - 2019,144,1,1
1 - 2019,145,0,1
1 - 2019,145,1,1
1 - 2019,146,0,1
1 - 2019,147,0,3
1 - 2019,149,0,2
1 - 2019,150,0,5
1 - 2019,151,0,4
1 - 2019,151,1,3
1 - 2019,152,0,1
1 - 2019,153,0,5
1 - 2019,153,1,2
1 - 2019,155,0,14
1 - 2019,156,0,2
1 - 2019,157,0,3
1 - 2019,158,0,1
1 - 2019,160,0,6
1 - 2019,161,0,2
1 - 2019,161,1,1
1 - 2019,162,0,5
1 - 2019,162,1,1
1 - 2019,163,0,7
1 - 2019,164,0,9
1 - 2019,164,1,1
1 - 2019,165,0,6
1 - 2019,166,0,1
1 - 2019,167,0,1
1 - 2019,168,0,9
1 - 2019,168,1,2
1 - 2019,170,0,19
1 - 2019,170,1,2
1 - 2019,173,0,1
1 - 2019,174,0,4
1 - 2019,176,0,4
1 - 2019,178,0,3
1 - 2019,179,0,3
1 - 2019,180,0,2
1 - 2019,181,0,4
1 - 2019,181,1,1
1 - 2019,182,0,1
1 - 2019,183,0,8
1 - 2019,184,0,2
1 - 2019,185,0,4
1 - 2019,187,1,1
1 - 2019,188,0,6
1 - 2019,188,1,1
1 - 2019,190,0,13
1 - 2019,191,0,1
1 - 2019,191,2,1
1 - 2019,192,0,14
1 - 2019,192,1,3
1 - 2019,193,0,1
1 - 2019,193,1,1
1 - 2019,194,0,4
1 - 2019,195,0,5
1 - 2019,196,0,3
1 - 2019,197,0,3
1 - 2019,198,0,1
1 - 2019,198,1,1
1 - 2019,198,2,1
1 - 2019,199,0,3
1 - 2019,200,0,2
1 - 2019,204,0,13
1 - 2019,204,1,1
1 - 2019,205,0,4
1 - 2019,206,0,4
1 - 2019,209,0,3
1 - 2019,211,0,2
1 - 2019,213,0,7
1 - 2019,214,0,1
1 - 2019,215,0,4
1 - 2019,216,0,3
1 - 2019,217,0,1
1 - 2019,218,0,1
1 - 2019,219,0,1
1 - 2019,220,0,11
1 - 2019,220,1,1
1 - 2019,222,0,3
1 - 2019,223,0,4
1 - 2019,224,0,4
1 - 2019,225,0,2
1 - 2019,227,0,1
1 - 2019,228,0,4
1 - 2019,230,0,3
1 - 2019,231,0,7
1 - 2019,232,0,2
1 - 2019,233,0,1
1 - 2019,234,0,7
1 - 2019,235,0,2
1 - 2019,235,1,1
1 - 2019,236,0,6
1 - 2019,236,1,1
1 - 2019,237,0,1
1 - 2019,238,0,1
1 - 2019,239,0,5
1 - 2019,240,0,3
1 - 2019,241,0,3
1 - 2019,244,0,1
1 - 2019,245,0,1
1 - 2019,246,0,9
1 - 2019,247,0,1
1 - 2019,248,0,3
1 - 2019,249,0,2
1 - 2019,250,0,11
1 - 2019,251,0,1
1 - 2019,252,0,1
1 - 2019,253,0,1
1 - 2019,254,0,11
1 - 2019,255,0,7
1 - 2019,256,0,5
1 - 2019,257,0,1
1 - 2019,258,0,3
1 - 2019,259,1,1
1 - 2019,262,0,2
1 - 2019,262,1,1
1 - 2019,263,0,2
1 - 2019,264,1,1
1 - 2019,265,0,3
1 - 2019,265,1,1
1 - 2019,267,0,2
1 - 2019,267,1,1
1 - 2019,268,0,4
1 - 2019,268,1,1
1 - 2019,270,0,5
1 - 2019,271,0,1
1 - 2019,272,0,12
1 - 2019,273,0,1
1 - 2019,274,0,2
1 - 2019,274,1,2
1 - 2019,275,0,2
1 - 2019,276,0,1
1 - 2019,278,0,1
